Total Number of Blocks Added 	Latency (ms)	Size (KB) 
432 	266 	209.1651269 
433 	154 	209.8296083 
434 	158 	210.1135611 
435 	110 	210.9116928 
436 	213 	211.343833 
437 	196 	212.063878 
438 	73 	212.2563933 
439 	204 	212.8648558 
440 	82 	213.5737185 
441 	74 	214.2066806 
442 	189 	214.5730945 
443 	102 	214.9045337 
444 	83 	215.1770941 
445 	282 	215.958267 
446 	78 	216.0848999 
447 	75 	216.4779935 
448 	89 	217.1880655 
449 	296 	218.0853174 
450 	252 	218.2350909 
451 	222 	218.7251263 
452 	284 	219.5190714 
453 	164 	219.9524852 
454 	136 	220.2088945 
455 	157 	220.2138657 
456 	181 	220.8874471 
457 	129 	221.6223126 
458 	257 	222.0004076 
459 	291 	222.8345305 
460 	62 	222.8839049 
461 	300 	223.1352551 
462 	86 	223.6762928 
463 	205 	223.8736252 
464 	77 	223.9197505 
465 	238 	224.0297502 
466 	235 	224.3964558 
467 	175 	225.0644215 
468 	267 	225.412696 
469 	148 	225.5270053 
470 	69 	226.2430382 
471 	74 	226.9940784 
472 	256 	227.6448206 
473 	208 	227.9598083 
474 	293 	228.2417654 
475 	238 	228.7129563 
476 	292 	229.0332519 
477 	160 	229.7521051 
478 	300 	230.584977 
479 	90 	231.3304306 
480 	113 	232.1458535 
481 	174 	232.366858 
482 	95 	233.2751124 
483 	254 	233.7422044 
484 	176 	234.4471905 
485 	119 	234.6539559 
486 	214 	234.7396194 
487 	189 	235.1773455 
488 	293 	235.6480299 
489 	206 	235.6500906 
490 	248 	236.1654051 
491 	191 	236.6919181 
492 	177 	237.299558 
493 	220 	237.929952 
494 	273 	238.7812104 
495 	66 	239.4180621 
496 	182 	239.8712167 
497 	91 	240.732374 
498 	71 	241.406013 
499 	224 	241.6256305 
500 	300 	242.5951834 
501 	217 	243.0769357 
502 	145 	244.0623798 
503 	259 	244.7903304 
504 	203 	245.7133277 
505 	56 	246.5769025 
506 	136 	247.2370587 
507 	103 	248.1317921 
508 	85 	249.1278174 
509 	143 	249.3164872 
510 	69 	249.4078847 

